path	bytes	lines	mime	sha1
./.git/objects/01/94ec2ea0b0cf80e7b7f507f7cf04ef92896a08	     528	       1	application/zlib	0f2653726d9a690e9934402648f049f2089002fa
./.git/objects/02/007d5ff571e65cd84909d113799bf4f1f4b507	    7647	      25	application/zlib	60675ac8b08aea1cb1b5c31275241bd77514dd7f
./.git/objects/02/07478b311c2d41d366b0f0143c0b79033fd7cc	    4539	      22	application/zlib	2e4cc49ce7de972b18108f9545ab1adcbdce2b9a
./.git/objects/02/1c8ede59eb1b0d157411c84b9c01326e6dbc1f	    1097	       9	application/zlib	497fb3caa72f17683a3ef4f68b3d4e689f608c72
./.git/objects/02/418f392fca722763742e90e8440cc7a64cf120	     109	       0	application/zlib	fff81d6be9aef739a48ce88187d81ca978381cd5
./.git/objects/02/4590aa4503ea44c86ad8d1fd5fca32ac3ee48d	    3186	      17	application/zlib	83fea6d92a601857aa53a8e622be739d0b866159
./.git/objects/02/7053aa0fdf707c10b80253783e884998707312	     258	       0	application/zlib	bd0f265c0c29eb6aace956f983e2cbede9ba8fab
./.git/objects/02/f82dfd28b6d8eb19e40c4c7454cd0d92963969	    1727	       6	application/zlib	47bc69da4467131f76ad58139fe3996644aa3f6e
./.git/objects/03/fc658c339ce7ad6a067cc219a50446a2133b69	    1835	       7	application/zlib	b9855bf61258b66d153617b45e891985f1d350c1
./.git/objects/04/5aaaac8e73790eef1d5b94115c18183932ef3d	    2414	       9	application/zlib	a3056961df94f5c20687c16f8b1d961885fe3981
./.git/objects/04/7643453427ba2e8dee715087c5e314a14d5302	     401	       4	application/zlib	b84b37b53b96f1165784b2329b2b7e5ab1b55524
./.git/objects/04/a0dc3a1a27fe797766de954aac8f0023b34ac1	    2043	       9	application/zlib	7def4a0afd6fa55f6f76f1b0a25fb9fdbe29f51c
./.git/objects/04/da7ef7cc5ff8c044b8fc6bb792d7667968c63e	     646	       0	application/zlib	1c24b2286d5463ab802fedc7b3d8829f8821eca4
./.git/objects/05/3e7607caaa3c0ff1ce85b2d9925f8269afd80b	     310	       3	application/zlib	5a521e8bbcde33073bb23fe2bfb7ec004da2a924
./.git/objects/05/8f37db90ddf522956be8a6adae80e5d8cd52e4	    4376	      13	application/zlib	a8064e69b43b9d42fea3c1c46e08cab8a02fa144
./.git/objects/05/a718c3fae0492aaebb69d49843b7b2e2128d74	     139	       2	application/zlib	4b172db05f1300bf58911afd0a352c7671c19998
./.git/objects/05/b687ae2409e82769a52e67c4b2e88820c0d461	    1198	       5	application/zlib	09b830753964c64890f87657b67053c4c8cdb92c
./.git/objects/05/c5cf7c3f986d011f3c4d81138350f6c823e029	     108	       0	application/zlib	531b2d8031b46088a495811371b6bfbc14b51be9
./.git/objects/05/cf72c0fcc46257ddbc5820b6551d36213664d1	     293	       2	application/zlib	ad91b4ce6e517333600d5890efffa03fe7c01f14
./.git/objects/06/00ded3d747cbdeda523e1c8e6b8a023ade7978	      58	       0	application/zlib	6fedb398d3c56ebec802292556c8a74b6e13163b
./.git/objects/06/79055b58e87b71d0be7942f3ccfa0f7f44381d	     212	       2	application/zlib	4f93bad18b5f15e4ba4880713511a8f126083947
./.git/objects/06/796ad3a8fb918ba1de73abbb10ca2c320c0070	    1854	       3	application/zlib	f401b09c5c3e8bb8dfb8d6184e4b5267e6eb1330
./.git/objects/06/903fe17a6f6d9c6d443065443844da243246ed	     293	       1	application/zlib	1aa7e42db57d5c55da70657a1a74c855fe1b9716
./.git/objects/06/a05af260dd25764747cf39cf74df2f370d46b2	    1933	       6	application/zlib	b5fea8c5d933a2a42ee170b2343505cce9f62259
./.git/objects/06/e95399f7bb299589a32ddf78a2d2318f2de1e7	    5643	      18	application/zlib	0fee6efa79cb04e336651b80a32122caec9597b9
./.git/objects/06/ea368474937ab5cd4b15529f73f73d289f8455	     859	       4	application/zlib	f5d2e4b8a90fc10cb9c341aae21bfff5c324b48f
./.git/objects/06/f96e14abd362c4c177756c1c911cbcd687aa43	    3067	      17	application/zlib	848ebb55363112349061c6114953c1129a586ef5
./.git/objects/07/0ab0f452c33aa7febe9fcf2e9591449627589e	    1905	       5	application/zlib	71ec7e62a84369a75cd4a86ccf6d1a1845960acc
./.git/objects/07/8062b582e6f32962ba7a94630ad1e5378b50f4	     165	       0	application/zlib	9d37ff5b2b40b0dc83aafe0c6ae53f9252c61abe
./.git/objects/07/b537472d876e20fbe6dbeaa52528d87a243018	     391	       1	application/zlib	96bd4aa3369c511473e5f746c5b6b1353aeffd3e
./.git/objects/07/c97362ec5480611580ba08df620eda5f48bfe4	     159	       2	application/zlib	c277887cd1b52aa47eac2ec52842b4667e6b7789
./.git/objects/07/dab3abe98abf1dad7a37fc007cc5a8d7b74471	     273	       0	application/zlib	745b2f44ae1d43190b313f0ab6b8cbbe919928a5
./.git/objects/07/df25e80bd5a15a5463a95dd79d90dfb08e8ee4	     111	       0	application/zlib	5a76c66c4956008a9a22760440de01f270942ea6
./.git/objects/08/2734273428415d55a410a01bd7a33222caf2e3	     124	       0	application/zlib	50a5ea898a0f537fba1ecf9cded897c42f94fa43
./.git/objects/08/2e9f433bfac9dd236b061b7e04e22526a5c416	     166	       0	application/zlib	04d3b1f002046a6174c1b894ec123bf7367a74ef
./.git/objects/08/3bf9c8ce1e55df2cf5a00c75f09f1e6bd49c58	     294	       0	application/zlib	e9bb2784007a71871d601addb4c43723e390996b
