theme_picker_payload	2
theme_summaries	3
time_string	3
title_cannot_start_with_dot	2
toggle_favorite	4
toggle_style	7
tree_node_for_favorite	2
tree_node_for_file	4
tree_node_from_doc	3
truthy?	0
unified_header_lines	4
unified_note_contents	2
unified_task_list_contents	2
unquote	2
update	45
update_child_storage_paths_for_folder_rename	2
update_document_storage_paths!	2
update_password	2
update_username	2
upload_filename_stem	3
upload_images	5
upsert_file_from_path!	0
upsert_files_from_disk!	0
upsert_folders_from_disk!	0
user_workspace_root?	10
username_params	3
validation_error	4
wallpaper_apply_image_document_id_param	2
wallpaper_doc_eligible_for_user?	0
wallpaper_gradient_picker_for	1
wallpaper_image_boot_active?	0
wallpaper_state_for_boot	2
wallpaper_state_slice	3
with_disk_sync_suppressed	3
within_tree?	0
workspace_designated_folder	1
workspace_desktop_boot_layer_attributes	2
workspace_finder_root_folder	1
workspace_root_folder	2
workspace_section_definitions	9
workspace_section_root	36
workspace_section_roots	5
workspace_state_file	4
workspace_storage_dir	4
workspace_theme_boot_html_attributes	3
workspace_theme_boot_payload	6
workspace_theme_boot_style_tag	3
wrap_plain	4
write_state_data	5
write_themes_data	5
